trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
Mean corpuscular haemoglobin concentration	Biological samples	0.0141	0.6645	0.853269108669109		-0.0139	0.0368	-0.3764	0.7066	0.853269108669109		0.0141	0.0325	0.4337	0.6645	0.90026095890411		0.0021	0.0338	0.061	0.9514	0.981162252346194		0.0542	0.0063	1.0433	0.0196	0.0028	0.0066	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30060
Vitamin supplement user	Diet by 24-hour recall	0.0559	0.6348	0.854009731113956		0.0201	0.0951	0.2118	0.8323	0.915622580645161		0.0559	0.1177	0.4749	0.6348	0.89052085106383		0.045	0.107	0.4201	0.6744	0.854009731113956		0.0296	0.0089	0.9996	0.0064	-0.0026	0.005	Vitamin/mineral supplements yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=104670
Drinking water intake	Diet by 24-hour recall	0.0438	0.5563	0.855095208655332		0.0237	0.0723	0.3275	0.7433	0.874595486935867		-0.0438	0.0744	-0.5884	0.5563	0.855095208655332		-0.0129	0.0733	-0.1761	0.8602	0.9369359030837		0.0493	0.0102	1.0135	0.0064	0.007	0.005	Hot/cold beverages yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100150
Type of tobacco previously smoked: Manufactured cigarettes	Lifestyle and environment	0.0541	0.5638	0.856525652841782		0.0257	0.1025	0.2503	0.8024	0.905905936073059		-0.0541	0.0936	-0.5772	0.5638	0.856525652841782		-0.02	0.096	-0.2078	0.8354	0.93264481981982		0.0166	0.0049	1.0055	0.0067	-0.0044	0.0052	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2877
Tea intake	Lifestyle and environment	0.0124	0.7119	0.856531751824817		0.0124	0.0335	0.3693	0.7119	0.856531751824817		-0.0062	0.0324	-0.1905	0.8489	0.973969953596288		0.0023	0.0319	0.0723	0.9424	0.978933578174187		0.0597	0.0038	1	0.0103	-0.001	0.0055	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1488
Carbohydrate	Diet by 24-hour recall	0.0268	0.7152	0.857373090909091		0.0268	0.0734	0.3649	0.7152	0.857373090909091		-0.0014	0.0755	-0.019	0.9848	0.999447897435897		0.0169	0.0729	0.2313	0.817	0.92347875		0.0414	0.0097	1.008	0.0063	-0.0053	0.0043	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100005
Number of self-reported cancers	Medical history and conditions	0.0258	0.7185	0.860286319612591		0.0258	0.0716	0.3604	0.7185	0.860286319612591		-0.0082	0.0663	-0.1234	0.9018	0.990637417218543		0.0096	0.0672	0.1423	0.8869	0.954385		0.0076	0.0014	1.0121	0.0066	-2e-04	0.0051	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=134
Inverse distance to the nearest road	Lifestyle and environment	0.0575	0.5695	0.861073373676248		-4e-04	0.1024	-0.0042	0.9967	0.997708805668016		-0.0575	0.1012	-0.5687	0.5695	0.861073373676248		-0.0353	0.1014	-0.3483	0.7276	0.888390617283951		0.0034	0.0014	0.997	0.0063	7e-04	0.0047	Residential air pollution - Local environment - Additional exposures	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=24010
Ever had prolonged loss of interest in normal activities	Mental health	0.025	0.5719	0.861073373676248		-0.0066	0.0478	-0.1374	0.8907	0.953357467532468		0.025	0.0442	0.5653	0.5719	0.861073373676248		0.0119	0.046	0.2594	0.7953	0.909308323699422		0.0677	0.0048	0.9862	0.0069	0.0072	0.0054	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20441
Usual side of head for mobile phone use: Equally left and right	Lifestyle and environment	0.031	0.5787	0.86299186746988		0.0037	0.0567	0.0646	0.9485	0.980215778474399		0.031	0.0558	0.5552	0.5787	0.86299186746988		0.0179	0.0565	0.3175	0.7509	0.893278928571429		0.0138	0.0018	1.0041	0.0072	7e-04	0.0048	Electronic device use - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1150
Diagnoses - main ICD10: K57 Diverticular disease of intestine	Medical history and conditions	0.0247	0.5794	0.86299186746988		0.0122	0.0494	0.2462	0.8055	0.906864618885097		-0.0247	0.0445	-0.5543	0.5794	0.86299186746988		-0.0091	0.0468	-0.1952	0.8452	0.933258370535714		0.0227	0.0018	1.0058	0.0077	0.0142	0.0057	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Illnesses of mother: Breast cancer	Family history and early life factors	0.0343	0.5944	0.864027503168568		0.0158	0.0678	0.2333	0.8155	0.908324269662921		0.0343	0.0644	0.5325	0.5944	0.867052507374631		0.026	0.0649	0.4	0.6891	0.864027503168568		0.0088	0.002	1.0067	0.0081	-0.0016	0.0054	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20110
Alanine aminotransferase (U/L)	Biological samples	0.02	0.5853	0.864823922734027		0.0098	0.0298	0.3292	0.742	0.874595486935867		-0.02	0.0367	-0.5457	0.5853	0.864823922734027		-0.0075	0.0334	-0.2258	0.8214	0.92347875		0.1248	0.0093	1.0646	0.022	0.0047	0.0066	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30620
Mean sphered cell volume	Biological samples	0.0113	0.725	0.865972222222222		0.0113	0.032	0.3518	0.725	0.865972222222222		7e-04	0.0373	0.0187	0.9851	0.999447897435897		0.0065	0.0359	0.1811	0.8563	0.935779779005525		0.1867	0.0191	1.179	0.0521	0.0194	0.0083	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30270
Diagnoses - main ICD10: R10 Abdominal and pelvic pain	Medical history and conditions	0.0268	0.594	0.867052507374631		0.0118	0.0551	0.215	0.8297	0.914797435897436		-0.0268	0.0502	-0.533	0.594	0.867052507374631		-0.0134	0.0515	-0.2609	0.7942	0.90910162037037		0.0134	0.0016	1.0016	0.0077	0.0031	0.0054	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Illnesses of father: None of the above (group 2)	Family history and early life factors	0.0321	0.5981	0.868606314243759		0.0056	0.0633	0.0888	0.9292	0.967264879074658		0.0321	0.0609	0.5271	0.5981	0.868606314243759		0.0195	0.0609	0.321	0.7482	0.893278928571429		0.0103	0.0015	0.9992	0.0071	-0.0024	0.0048	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20107
Red blood cell (erythrocyte) distribution width	Biological samples	0.0116	0.7311	0.869059975961539		0.0116	0.0337	0.3436	0.7311	0.869059975961539		-0.0073	0.0399	-0.1829	0.8548	0.977745862068966		0.0018	0.0377	0.0482	0.9616	0.984806721820062		0.2004	0.0196	1.087	0.0523	0.0092	0.0076	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30070
Vitamin and mineral supplements: None of the above	Medications	0.014	0.7323	0.869441416566627		0.014	0.041	0.3421	0.7323	0.869441416566627		0.0039	0.0421	0.0915	0.9271	0.998404284221526		0.0083	0.0416	0.2006	0.841	0.933258370535714		0.0304	0.0018	0.994	0.0067	-0.0112	0.0052	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155
Ever thought that life not worth living	Mental health	0.0164	0.7336	0.869940527577938		-0.0164	0.0483	-0.3403	0.7336	0.869940527577938		-0.0096	0.0464	-0.2067	0.8362	0.97142543554007		-0.0134	0.0474	-0.2831	0.7771	0.903116216216216		0.0732	0.0054	1.0093	0.0072	0.0178	0.0053	Self-harm behaviours - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20479
Manifestations of mania or irritability: I was more talkative than usual	Mental health	0.0262	0.6809	0.872230991217064		0.0197	0.0705	0.2795	0.7798	0.89677		0.0262	0.0638	0.4112	0.6809	0.901988903566711		0.0254	0.0666	0.3819	0.7026	0.872230991217064		0.0247	0.0042	1.0016	0.0064	0.0145	0.0049	Mania - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20548
Diagnoses - main ICD10: K29 Gastritis and duodenitis	Medical history and conditions	0.0321	0.6296	0.874595486935867		0.0209	0.0634	0.3292	0.742	0.874595486935867		-0.0321	0.0666	-0.4824	0.6296	0.887423219373219		-0.0122	0.0643	-0.1893	0.8499	0.933314048672566		0.0097	0.0015	1.0103	0.0068	0.0069	0.0055	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Workplace very hot: Rarely/never	Work environment	0.0247	0.7387	0.874595486935867		-0.0247	0.0739	-0.3335	0.7387	0.874595486935867		-0.0132	0.0676	-0.1946	0.8457	0.97142543554007		-0.0185	0.0686	-0.2691	0.7878	0.905492102206736		0.0314	0.0061	1.0086	0.0066	-0.0031	0.0052	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22608
Treatment/medication code: glucosamine product	Medications	0.0243	0.7445	0.874595486935867		0.0243	0.0745	0.3259	0.7445	0.874595486935867		-0.0011	0.0697	-0.0165	0.9869	0.9998		0.0069	0.0698	0.0991	0.921	0.974191443850267		0.0064	0.0013	1.0096	0.0064	-0.0013	0.0048	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Ever had bowel cancer screening	Medical history and conditions	0.0229	0.6898	0.874965836298933		-0.0196	0.0604	-0.3242	0.7458	0.874965836298933		0.0229	0.0575	0.3992	0.6898	0.901988903566711		0.0042	0.0578	0.072	0.9426	0.978933578174187		0.0133	0.0016	1.0133	0.007	0.0017	0.0058	Cancer screening - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2345
Other malignant neoplasms of skin	Medical history and conditions	0.0238	0.6103	0.877773333333333		-0.0125	0.0459	-0.2713	0.7862	0.900987022016222		0.0238	0.0468	0.5096	0.6103	0.877773333333333		0.0092	0.0448	0.2058	0.8369	0.93264481981982		0.0275	0.0043	1.0241	0.0141	-0.0041	0.006	NA	NA
Mouth/teeth dental problems: Mouth ulcers	Medical history and conditions	0.0151	0.7556	0.882276741440378		-0.0151	0.0485	-0.3113	0.7556	0.882276741440378		-0.0019	0.0458	-0.0408	0.9674	0.998653790238837		-0.0096	0.047	-0.2053	0.8374	0.93264481981982		0.0286	0.0036	1.0243	0.0114	0.0041	0.0056	Mouth - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6149
Diagnoses - main ICD10: G56 Mononeuropathies of upper limb	Medical history and conditions	0.015	0.757	0.882869103773585		0.015	0.0485	0.3094	0.757	0.882869103773585		-0.007	0.0442	-0.1592	0.8735	0.981694886363636		0.0042	0.0454	0.0931	0.9258	0.974285866099894		0.0194	0.002	1.0088	0.0083	0.0037	0.0059	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
3mm cylindrical power (left)	Physical measures	0.0278	0.6206	0.883127194244604		0.0055	0.0541	0.1014	0.9192	0.963673227513227		-0.0278	0.0562	-0.4951	0.6206	0.883127194244604		-0.0143	0.0534	-0.2685	0.7883	0.905492102206736		0.0779	0.0075	1.0106	0.007	-0.0025	0.0058	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5119
Invitation to complete online 24-hour recall dietary questionnaire, acceptance	Diet by 24-hour recall	0.0139	0.7617	0.887191176470588		-0.0139	0.0459	-0.3032	0.7617	0.887191176470588		-0.0091	0.0436	-0.2091	0.8344	0.97142543554007		-0.012	0.0435	-0.2772	0.7817	0.905492102206736		0.0366	0.0027	1.019	0.0074	-0.0038	0.0054	Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=110001
Other gastritis (incl. Duodenitis)	Medical history and conditions	0.0339	0.6278	0.887423219373219		7e-04	0.0683	0.0108	0.9914	0.997442682926829		-0.0339	0.0699	-0.4848	0.6278	0.887423219373219		-0.0214	0.0688	-0.311	0.7558	0.893278928571429		0.0083	0.0014	1.0034	0.0066	0.0074	0.0057	NA	NA
Doctor diagnosed hayfever or allergic rhinitis	Work environment	0.0218	0.6448	0.891189473684211		0.0037	0.049	0.0751	0.9402	0.97571647429171		0.0218	0.0473	0.461	0.6448	0.894226564673157		0.0162	0.048	0.3369	0.7362	0.891189473684211		0.0787	0.0089	1.0072	0.0085	0.0023	0.0053	Medical information - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22126
Medication for pain relief, constipation, heartburn: Ibuprofen (e.g. Nurofen)	Medications	0.0217	0.641	0.891630098452883		0.0126	0.0476	0.2638	0.7919	0.903172988505747		-0.0217	0.0465	-0.4663	0.641	0.891630098452883		-0.0092	0.0468	-0.1962	0.8445	0.933258370535714		0.0213	0.0016	0.9978	0.0065	9e-04	0.0053	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154
Belief that own life is meaningful	Mental health	0.0155	0.7429	0.893278928571429		-0.0134	0.0516	-0.2605	0.7945	0.903172988505747		-0.0109	0.0461	-0.2365	0.813	0.957917142857143		-0.0155	0.0473	-0.328	0.7429	0.893278928571429		0.0589	0.0052	1.0231	0.0067	-0.0129	0.0057	Happiness and subjective well-being - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20460
Treatment/medication code: amitriptyline	Medications	0.0217	0.755	0.893278928571429		-0.015	0.0721	-0.2076	0.8355	0.918121666666667		-0.0169	0.0683	-0.2468	0.805	0.95099785202864		-0.0217	0.0694	-0.312	0.755	0.893278928571429		0.0073	0.0016	1.0109	0.0073	0.0067	0.005	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Diagnoses - main ICD10: C44 Other malignant neoplasms of skin	Medical history and conditions	0.0193	0.6875	0.893494201183432		0.0042	0.0478	0.0877	0.9301	0.967264879074658		0.0193	0.0479	0.4023	0.6875	0.901988903566711		0.014	0.0459	0.3049	0.7605	0.893494201183432		0.0195	0.0033	1.0036	0.0114	9e-04	0.0054	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Workplace full of chemical or other fumes: Sometimes	Work environment	0.0262	0.6974	0.893494201183432		0.0138	0.0805	0.1712	0.8641	0.935496721311475		0.0262	0.0675	0.3888	0.6974	0.907537631578947		0.0221	0.0732	0.3021	0.7626	0.893494201183432		0.0274	0.0051	1.0112	0.006	-2e-04	0.0048	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22610
Salt added to food	Lifestyle and environment	0.012	0.6855	0.89391273364486		-0.0088	0.0307	-0.2876	0.7737	0.89391273364486		0.012	0.0295	0.405	0.6855	0.901988903566711		0.0058	0.0295	0.195	0.8454	0.933258370535714		0.0829	0.004	1.0132	0.0108	0.0111	0.0064	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1478
Length of menstrual cycle	Maternity and sex-specific factors	0.0232	0.7238	0.89391273364486		-0.0193	0.0673	-0.2877	0.7736	0.89391273364486		0.0232	0.0658	0.3534	0.7238	0.91422503192848		0.0049	0.0668	0.0726	0.9421	0.978933578174187		0.0951	0.02	1.0029	0.0071	0.0123	0.0049	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3710
Spherical power (right)	Physical measures	0.0088	0.7747	0.894023687281214		0.0088	0.0308	0.2863	0.7747	0.894023687281214		0.0086	0.0303	0.2822	0.7778	0.940396332518338		0.0068	0.0298	0.2286	0.8192	0.92347875		0.2994	0.0168	1.0579	0.0113	-0.0061	0.0052	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5084
Malignant neoplasm of breast	Medical history and conditions	0.0237	0.6489	0.894226564673157		-0.0021	0.0585	-0.0354	0.9718	0.986766119096509		-0.0237	0.0521	-0.4553	0.6489	0.894226564673157		-0.0137	0.0547	-0.2514	0.8015	0.912178941311853		0.0124	0.0019	1.0218	0.0088	0.0014	0.0053	NA	NA
Fried potatoes intake	Diet by 24-hour recall	0.05	0.7282	0.901203356481481		0.0327	0.1212	0.2698	0.7873	0.901203356481481		-0.05	0.1438	-0.3475	0.7282	0.915233418043202		-0.0281	0.1316	-0.2134	0.831	0.930869648924122		0.0185	0.0089	0.9959	0.0066	0.0038	0.0053	Fruit/vegetables yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=104020
Workplace had a lot of cigarette smoke from other people smoking: Rarely/never	Work environment	0.0447	0.6711	0.901988903566711		-0.0136	0.1089	-0.1249	0.9006	0.957339293361884		0.0447	0.1053	0.4246	0.6711	0.901988903566711		0.017	0.1037	0.1635	0.8701	0.943562390350877		0.0112	0.0048	1.0097	0.0063	-0.0039	0.005	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22611
Low calorie drink intake	Diet by 24-hour recall	0.0384	0.6896	0.901988903566711		-0.0148	0.1062	-0.1391	0.8893	0.952890249187432		-0.0384	0.0963	-0.3994	0.6896	0.901988903566711		-0.0268	0.099	-0.2708	0.7866	0.905492102206736		0.0205	0.0098	1.0053	0.0066	0.0011	0.0054	Hot/cold beverages yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100160
Mineral and other dietary supplements: None of the above	Medications	0.0113	0.7917	0.903172988505747		-0.0113	0.0429	-0.2641	0.7917	0.903172988505747		0.0077	0.0498	0.155	0.8769	0.984295809739524		-3e-04	0.046	-0.0054	0.9957	0.997717629179331		0.0301	0.002	1.0105	0.0069	-0.0044	0.0052	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179
Treatment/medication code: ibuprofen	Medications	0.0138	0.7935	0.903172988505747		0.0138	0.0529	0.2618	0.7935	0.903172988505747		0.0055	0.0514	0.1063	0.9154	0.994868791208791		0.0111	0.0518	0.2134	0.8311	0.930869648924122		0.0161	0.0015	1	0.0066	9e-04	0.0051	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Duration walking for pleasure	Lifestyle and environment	0.0154	0.7577	0.904471052631579		-0.0128	0.0502	-0.2542	0.7993	0.904471052631579		-0.0154	0.05	-0.3084	0.7577	0.927475705521472		-0.0112	0.0494	-0.2272	0.8203	0.92347875		0.0241	0.0021	1.0035	0.0065	-0.012	0.0055	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=981
Ever had same-sex intercourse	Lifestyle and environment	0.0162	0.7936	0.908324269662921		-0.0154	0.0668	-0.2309	0.8174	0.908324269662921		-0.0146	0.0591	-0.2472	0.8048	0.95099785202864		-0.0162	0.0617	-0.2616	0.7936	0.90910162037037		0.0112	0.0016	1.0114	0.0067	0.0135	0.0054	Sexual factors - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2159
Home location at assessment - east co-ordinate (rounded)	Sociodemographics	0.0171	0.7971	0.908324269662921		-0.0171	0.0719	-0.2373	0.8124	0.908324269662921		-0.0105	0.059	-0.1776	0.859	0.977745862068966		-0.0164	0.0636	-0.2571	0.7971	0.910313972286374		0.0117	0.0019	1.2741	0.0092	0.003	0.0056	Reception - Recruitment - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20074
Basophill count	Biological samples	0.011	0.8106	0.908324269662921		-0.011	0.0457	-0.2397	0.8106	0.908324269662921		-0.0021	0.0504	-0.0426	0.966	0.998404284221526		-0.0077	0.0468	-0.1655	0.8686	0.943562390350877		0.0231	0.0028	1.0999	0.0105	0.0081	0.0055	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30160
Carpal tunnel syndrome	Medical history and conditions	0.0116	0.8136	0.908324269662921		0.0116	0.0492	0.2358	0.8136	0.908324269662921		-0.0059	0.0444	-0.1318	0.8951	0.989110502793296		0.0039	0.0458	0.0855	0.9318	0.978291082802548		0.0194	0.0019	1.0097	0.0084	0.0039	0.006	NA	NA
Diseases of the circulatory system	Medical history and conditions	0.0111	0.8141	0.908324269662921		0.0111	0.0473	0.2351	0.8141	0.908324269662921		0.0079	0.0403	0.1953	0.8452	0.97142543554007		0.0089	0.0429	0.2061	0.8367	0.93264481981982		0.0262	0.002	1.0287	0.0083	0.018	0.0052	NA	NA
Facial ageing	Lifestyle and environment	0.0074	0.8205	0.909724775784753		0.0074	0.0325	0.2269	0.8205	0.909724775784753		-0.0051	0.0351	-0.1441	0.8854	0.986787472035794		0.0015	0.033	0.0467	0.9627	0.984806721820062		0.0682	0.0031	1.038	0.0122	0.012	0.0057	Sun exposure - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1757
